trade_date,symbol,reason_set,primary_reason,pct_change,prev_close,last_price,turnover,notes,security,mkt,open,high,low,close,net_trdval,net_trdqty,trades,ind_sec,corp_ind,hi_52_wk,lo_52_wk,pd_source_file,pd_mapped,_pd_lookup_key
2026-03-20,GMDCLTD,"gainer_loser,top_turnover",gainer_loser,7.78,       534.15,575.7,18579132633.65,{},GUJARAT MINERAL DEV CORP,N,       539.90,       599.00,       539.00,       575.70,              18579132633.65,32107235,391905,N, ,       651.00,       245.05,pd20032026.csv,True,GMDCLTD
2026-03-20,SUPERSPIN,gainer_loser,gainer_loser,7.36,         4.21,4.52,,{},SUPER SPINNING MILLS LTD,N,         4.21,         4.78,         4.21,         4.52,                   315556.23,71397,426,N, ,        12.47,         3.96,pd20032026.csv,True,SUPERSPIN
2026-03-20,DALMIASUG,gainer_loser,gainer_loser,7.31,       298.75,320.6,,{},DALMIA BHARAT SUG IN LTD,N,       312.10,       324.50,       305.15,       320.60,                133007802.80,417543,10222,N, ,       349.00,       261.40,pd20032026.csv,True,DALMIASUG
2026-03-20,INOXGREEN,gainer_loser,gainer_loser,7.21,       140.28,150.4,,{},INOX GREEN ENERGY SER LTD,N,       141.49,       164.73,       141.40,       150.40,              10874146016.81,69053350,326974,N, ,       279.00,       104.00,pd20032026.csv,True,INOXGREEN
2026-03-20,NPST,gainer_loser,gainer_loser,7.1,      1032.60,1105.9,,{},NETWORK PEOPLE SRV TECH L,N,      1035.00,      1148.00,      1032.60,      1105.90,                145099002.20,130311,11094,N, ,      2531.75,       846.60,pd20032026.csv,True,NPST
2026-03-20,GOCOLORS,gainer_loser,gainer_loser,7.1,       257.15,275.4,,{},GO FASHION INDIA LTD,N,       258.80,       284.20,       256.95,       275.40,                135794172.30,495661,12232,N, ,       943.75,       237.05,pd20032026.csv,True,GOCOLORS
2026-03-20,ACUTAAS,gainer_loser,gainer_loser,7.07,      2241.30,2399.8,,{},ACUTAAS CHEMICALS LIMITED,N,      2254.90,      2460.80,      2243.10,      2399.80,               1550603135.00,658530,64999,N, ,      2553.65,      1040.50,pd20032026.csv,True,ACUTAAS
2026-03-20,AVADHSUGAR,gainer_loser,gainer_loser,7.04,       426.10,456.1,,{},AVADH SUG & ENERGY LTD,N,       435.05,       461.85,       432.05,       456.10,                117924513.70,260726,9476,N, ,       584.25,       306.05,pd20032026.csv,True,AVADHSUGAR
2026-03-20,SASKEN,gainer_loser,gainer_loser,6.87,      1098.90,1174.4,,{},SASKEN TECHNOLOGIES LTD,N,      1099.00,      1190.10,      1099.00,      1174.40,                 58981750.60,51287,5933,N, ,      1714.20,       991.00,pd20032026.csv,True,SASKEN
2026-03-20,ACEINTEG,gainer_loser,gainer_loser,6.81,        15.86,16.94,,{},ACE INTEGRATED SOLU. LTD.,N,        16.82,        17.49,        15.62,        16.94,                   214821.91,13035,121,N, ,        29.94,        15.60,pd20032026.csv,True,ACEINTEG
2026-03-20,CREST,gainer_loser,gainer_loser,6.81,       309.20,330.25,,{},CREST VENTURES LIMITED,N,       307.65,       335.70,       307.60,       330.25,                  7988531.80,24610,567,N, ,       430.10,       300.15,pd20032026.csv,True,CREST
2026-03-20,AKASH,gainer_loser,gainer_loser,6.71,        24.00,25.61,,{},AKASH INFRA-PROJECTS LTD,N,        23.55,        25.75,        23.55,        25.61,                   943987.34,38095,137,N, ,        36.00,        23.00,pd20032026.csv,True,AKASH
