trade_date,symbol,reason_set,primary_reason,pct_change,prev_close,last_price,turnover,notes
2026-03-20,AUROPHARMA,gainer_loser,gainer_loser,3.52,1247.5,1291.4,,{}
2026-03-20,AARVI,gainer_loser,gainer_loser,3.51,125.74,130.15,,{}
2026-03-20,SSWL,gainer_loser,gainer_loser,3.49,179.2,185.46,,{}
2026-03-20,DOLLAR,gainer_loser,gainer_loser,3.48,251.3,260.05,,{}
2026-03-20,DIVGIITTS,gainer_loser,gainer_loser,3.47,681.35,705.0,,{}
2026-03-20,MRPL,gainer_loser,gainer_loser,3.47,184.78,191.19,,{}
2026-03-20,MONTECARLO,gainer_loser,gainer_loser,3.46,507.8,525.35,,{}
2026-03-20,WINDMACHIN,gainer_loser,gainer_loser,3.44,222.4,230.05,,{}
2026-03-20,SYRMA,gainer_loser,gainer_loser,3.43,757.9,783.9,,{}
2026-03-20,BETA,gainer_loser,gainer_loser,3.4,1069.7,1106.1,,{}
2026-03-20,ANDHRSUGAR,gainer_loser,gainer_loser,3.4,68.63,70.96,,{}
2026-03-20,GMRP&UI,gainer_loser,gainer_loser,3.38,101.1,104.52,,{}
2026-03-20,KOPRAN,gainer_loser,gainer_loser,3.38,114.36,118.22,,{}
2026-03-20,RUBICON,gainer_loser,gainer_loser,3.37,757.45,782.95,,{}
2026-03-20,BIOCON,gainer_loser,gainer_loser,3.36,368.55,380.95,,{}
2026-03-20,CARTRADE,gainer_loser,gainer_loser,3.36,1641.7,1696.9,,{}
2026-03-20,UNIINFO,gainer_loser,gainer_loser,3.36,12.22,12.63,,{}
2026-03-20,FINCABLES,gainer_loser,gainer_loser,3.34,849.8,878.15,,{}
2026-03-20,DCMSRIND,gainer_loser,gainer_loser,3.34,34.18,35.32,,{}
2026-03-20,JBMA,gainer_loser,gainer_loser,3.33,548.95,567.25,,{}
2026-03-20,APLLTD,gainer_loser,gainer_loser,3.33,655.45,677.3,,{}
2026-03-20,OFSS,gainer_loser,gainer_loser,3.32,6368.5,6580.0,,{}
2026-03-20,JARO,gainer_loser,gainer_loser,3.32,470.55,486.15,,{}
2026-03-20,HINDCOMPOS,gainer_loser,gainer_loser,3.31,381.95,394.6,,{}
2026-03-20,YATRA,gainer_loser,gainer_loser,3.31,103.77,107.2,,{}
2026-03-20,MASFIN,gainer_loser,gainer_loser,3.29,292.9,302.55,,{}
